,epoch,train_accuracy_simple,train_accuracy_distil,train_loss_simple,train_loss_distil,valid_accuracy_simple,valid_accuracy_distil
137,137,0.35498,0.35496,0.0012581332588195802,4.789420620117188,0.3536,0.35542
138,138,0.35518,0.3551,0.001257690496444702,4.789166479492187,0.35362,0.35568
139,139,0.35534,0.35524,0.0012572322654724121,4.7889141015625,0.35374,0.35584
140,140,0.35544,0.35542,0.001256777367591858,4.788664609375,0.35404,0.35602
141,141,0.35564,0.35582,0.0012563221883773804,4.788410322265625,0.35432,0.3562
142,142,0.35582,0.35594,0.0012558711671829224,4.788160791015625,0.35448,0.35632
143,143,0.35618,0.3561,0.001255423436164856,4.787910419921875,0.3547,0.35666
144,144,0.35638,0.35622,0.0012549707555770874,4.787662387695312,0.35462,0.35658
145,145,0.35648,0.35644,0.0012545214176177977,4.787412465820313,0.35478,0.35704
146,146,0.35678,0.35656,0.001254070634841919,4.787163896484375,0.35502,0.35736
147,147,0.35684,0.35686,0.001253624529838562,4.786912763671875,0.35538,0.35726
148,148,0.3573,0.35708,0.0012531840133666993,4.7866660986328124,0.35538,0.35758
149,149,0.35742,0.35728,0.0012527438402175903,4.786413208007812,0.35566,0.35758
150,150,0.35746,0.35732,0.0012522918701171875,4.786161772460938,0.35576,0.35766
151,151,0.35766,0.35752,0.0012518505573272706,4.785915986328125,0.35596,0.3577
152,152,0.35798,0.3577,0.001251402645111084,4.7856688671875,0.356,0.35798
153,153,0.358,0.35794,0.0012509593105316163,4.7854222265625,0.35644,0.35814
154,154,0.35818,0.35806,0.001250508427619934,4.785177055664063,0.35664,0.3582
155,155,0.35824,0.35834,0.001250065231323242,4.784927485351562,0.35692,0.3583
156,156,0.35832,0.35838,0.0012496222686767579,4.784679423828125,0.35698,0.35858
157,157,0.35844,0.35866,0.0012491764497756957,4.784433471679687,0.35724,0.35868
158,158,0.35868,0.35882,0.0012487305974960327,4.784186499023438,0.35732,0.35888
159,159,0.35868,0.35892,0.0012482913446426392,4.783940239257812,0.35752,0.35918
160,160,0.3588,0.35924,0.001247852349281311,4.783695161132813,0.35768,0.35906
161,161,0.35898,0.35952,0.0012474110174179077,4.78345037109375,0.35778,0.35926
162,162,0.35912,0.35966,0.0012469649696350098,4.783201938476562,0.35798,0.3594
163,163,0.35926,0.36002,0.001246523928642273,4.782956806640625,0.3581,0.3596
164,164,0.35962,0.36022,0.0012460829305648803,4.7827093359375,0.3585,0.35984
165,165,0.3597,0.36046,0.0012456435823440552,4.78247029296875,0.35876,0.35996
166,166,0.35994,0.3606,0.001245202317237854,4.7822241796875,0.3587,0.36022
167,167,0.3601,0.36074,0.0012447723436355591,4.781981108398438,0.35888,0.3604
168,168,0.36026,0.36098,0.001244331088066101,4.781736123046875,0.35914,0.3605
169,169,0.3603,0.36106,0.0012438800811767577,4.781488828125,0.35926,0.36072
170,170,0.36052,0.3613,0.001243450469970703,4.781245180664063,0.3594,0.36082
171,171,0.36072,0.3615,0.0012430103969573974,4.781003989257813,0.3596,0.36124
172,172,0.361,0.36156,0.0012425722932815552,4.780758891601563,0.35974,0.36132
173,173,0.36112,0.36184,0.0012421379899978638,4.780515546875,0.35976,0.36152
174,174,0.36116,0.362,0.0012416993141174317,4.7802743505859375,0.36,0.3617
